0/60000 PDE Loss: 0.00003, BC Loss: 3432.86084, reg_loss:  0.904837, total loss: 3432.860840
500/60000 PDE Loss: 0.00026, BC Loss: 2759.45166, reg_loss:  0.898756, total loss: 2759.451904
1000/60000 PDE Loss: 0.00499, BC Loss: 221.79463, reg_loss:  0.886888, total loss: 221.799622
1500/60000 PDE Loss: 0.00356, BC Loss: 73.40958, reg_loss:  0.880749, total loss: 73.413139
2000/60000 PDE Loss: 0.00848, BC Loss: 69.60388, reg_loss:  0.875106, total loss: 69.612366
2500/60000 PDE Loss: 0.04290, BC Loss: 62.86317, reg_loss:  0.869620, total loss: 62.906078
3000/60000 PDE Loss: 0.28405, BC Loss: 52.96804, reg_loss:  0.864283, total loss: 53.252087
3500/60000 PDE Loss: 1.22964, BC Loss: 40.38121, reg_loss:  0.859680, total loss: 41.610847
4000/60000 PDE Loss: 2.76177, BC Loss: 27.54900, reg_loss:  0.856364, total loss: 30.310770
4500/60000 PDE Loss: 2.79241, BC Loss: 17.46270, reg_loss:  0.854565, total loss: 20.255112
5000/60000 PDE Loss: 1.66036, BC Loss: 9.64276, reg_loss:  0.853686, total loss: 11.303120
5500/60000 PDE Loss: 0.70996, BC Loss: 4.10068, reg_loss:  0.853048, total loss: 4.810637
6000/60000 PDE Loss: 0.21212, BC Loss: 1.20874, reg_loss:  0.852360, total loss: 1.420859
6500/60000 PDE Loss: 0.04654, BC Loss: 0.21997, reg_loss:  0.851845, total loss: 0.266518
7000/60000 PDE Loss: 0.01223, BC Loss: 0.02391, reg_loss:  0.851691, total loss: 0.036146
7500/60000 PDE Loss: 0.00655, BC Loss: 0.00303, reg_loss:  0.851714, total loss: 0.009578
8000/60000 PDE Loss: 0.00456, BC Loss: 0.00137, reg_loss:  0.851779, total loss: 0.005934
8500/60000 PDE Loss: 0.00347, BC Loss: 0.00108, reg_loss:  0.851841, total loss: 0.004547
9000/60000 PDE Loss: 0.00283, BC Loss: 0.00079, reg_loss:  0.851866, total loss: 0.003615
9500/60000 PDE Loss: 0.00246, BC Loss: 0.00048, reg_loss:  0.851856, total loss: 0.002938
10000/60000 PDE Loss: 0.00204, BC Loss: 0.00027, reg_loss:  0.851893, total loss: 0.002306
10500/60000 PDE Loss: 0.00165, BC Loss: 0.00017, reg_loss:  0.851971, total loss: 0.001812
11000/60000 PDE Loss: 0.00137, BC Loss: 0.00013, reg_loss:  0.852062, total loss: 0.001494
11500/60000 PDE Loss: 0.00123, BC Loss: 0.00010, reg_loss:  0.852141, total loss: 0.001325
12000/60000 PDE Loss: 0.00111, BC Loss: 0.00008, reg_loss:  0.852221, total loss: 0.001191
12500/60000 PDE Loss: 0.00101, BC Loss: 0.00007, reg_loss:  0.852301, total loss: 0.001078
13000/60000 PDE Loss: 0.00094, BC Loss: 0.00006, reg_loss:  0.852368, total loss: 0.000993
13500/60000 PDE Loss: 0.00087, BC Loss: 0.00005, reg_loss:  0.852417, total loss: 0.000924
14000/60000 PDE Loss: 0.00083, BC Loss: 0.00005, reg_loss:  0.852442, total loss: 0.000878
14500/60000 PDE Loss: 0.00079, BC Loss: 0.00004, reg_loss:  0.852463, total loss: 0.000834
15000/60000 PDE Loss: 0.00084, BC Loss: 0.00119, reg_loss:  0.852454, total loss: 0.002030
15500/60000 PDE Loss: 0.00074, BC Loss: 0.00004, reg_loss:  0.852488, total loss: 0.000776
16000/60000 PDE Loss: 0.00072, BC Loss: 0.00003, reg_loss:  0.852488, total loss: 0.000751
16500/60000 PDE Loss: 0.00069, BC Loss: 0.00003, reg_loss:  0.852481, total loss: 0.000723
17000/60000 PDE Loss: 0.00066, BC Loss: 0.00003, reg_loss:  0.852458, total loss: 0.000689
17500/60000 PDE Loss: 0.00065, BC Loss: 0.00002, reg_loss:  0.852436, total loss: 0.000672
18000/60000 PDE Loss: 0.00064, BC Loss: 0.00002, reg_loss:  0.852397, total loss: 0.000661
18500/60000 PDE Loss: 0.00063, BC Loss: 0.00002, reg_loss:  0.852347, total loss: 0.000651
19000/60000 PDE Loss: 0.00062, BC Loss: 0.00002, reg_loss:  0.852287, total loss: 0.000640
19500/60000 PDE Loss: 0.00061, BC Loss: 0.00002, reg_loss:  0.852216, total loss: 0.000630
20000/60000 PDE Loss: 0.00060, BC Loss: 0.00002, reg_loss:  0.852142, total loss: 0.000622
20500/60000 PDE Loss: 0.00060, BC Loss: 0.00002, reg_loss:  0.852122, total loss: 0.000620
21000/60000 PDE Loss: 0.00060, BC Loss: 0.00002, reg_loss:  0.852084, total loss: 0.000617
21500/60000 PDE Loss: 0.00060, BC Loss: 0.00002, reg_loss:  0.852034, total loss: 0.000614
22000/60000 PDE Loss: 0.00060, BC Loss: 0.00001, reg_loss:  0.851970, total loss: 0.000612
22500/60000 PDE Loss: 0.00061, BC Loss: 0.00580, reg_loss:  0.851947, total loss: 0.006417
23000/60000 PDE Loss: 0.00059, BC Loss: 0.00001, reg_loss:  0.851915, total loss: 0.000606
23500/60000 PDE Loss: 0.00059, BC Loss: 0.00001, reg_loss:  0.851877, total loss: 0.000603
24000/60000 PDE Loss: 0.00059, BC Loss: 0.00001, reg_loss:  0.851835, total loss: 0.000600
24500/60000 PDE Loss: 0.00059, BC Loss: 0.00002, reg_loss:  0.851793, total loss: 0.000607
25000/60000 PDE Loss: 0.00058, BC Loss: 0.00001, reg_loss:  0.851778, total loss: 0.000596
25500/60000 PDE Loss: 0.00058, BC Loss: 0.00001, reg_loss:  0.851757, total loss: 0.000594
26000/60000 PDE Loss: 0.00058, BC Loss: 0.00001, reg_loss:  0.851732, total loss: 0.000592
26500/60000 PDE Loss: 0.00058, BC Loss: 0.00001, reg_loss:  0.851701, total loss: 0.000590
27000/60000 PDE Loss: 0.00058, BC Loss: 0.00001, reg_loss:  0.851663, total loss: 0.000587
27500/60000 PDE Loss: 0.00058, BC Loss: 0.00005, reg_loss:  0.851632, total loss: 0.000634
28000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.851614, total loss: 0.000583
28500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.851600, total loss: 0.000582
29000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.851581, total loss: 0.000581
29500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.851557, total loss: 0.000580
30000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.851530, total loss: 0.000578
30500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.851501, total loss: 0.000577
31000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.851468, total loss: 0.000576
31500/60000 PDE Loss: 0.00060, BC Loss: 0.00101, reg_loss:  0.851429, total loss: 0.001603
32000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.851433, total loss: 0.000574
32500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.851429, total loss: 0.000574
33000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.851424, total loss: 0.000573
33500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.851417, total loss: 0.000573
34000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.851410, total loss: 0.000573
34500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.851402, total loss: 0.000572
35000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851392, total loss: 0.000572
35500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851381, total loss: 0.000571
36000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851379, total loss: 0.000570
36500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851378, total loss: 0.000570
37000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851376, total loss: 0.000570
37500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851374, total loss: 0.000570
38000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851371, total loss: 0.000569
38500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851367, total loss: 0.000569
39000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851363, total loss: 0.000569
39500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851358, total loss: 0.000569
40000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851350, total loss: 0.000573
40500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851350, total loss: 0.000568
41000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851349, total loss: 0.000568
41500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851347, total loss: 0.000568
42000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851345, total loss: 0.000567
42500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851342, total loss: 0.000567
43000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851338, total loss: 0.000567
43500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851333, total loss: 0.000566
44000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851328, total loss: 0.000566
44500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851326, total loss: 0.000567
45000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851327, total loss: 0.000566
45500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851326, total loss: 0.000565
46000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851324, total loss: 0.000565
46500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851323, total loss: 0.000565
47000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851322, total loss: 0.000565
47500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851320, total loss: 0.000564
48000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851318, total loss: 0.000564
48500/60000 PDE Loss: 0.00090, BC Loss: 0.26646, reg_loss:  0.851356, total loss: 0.267362
49000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851315, total loss: 0.000564
49500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851315, total loss: 0.000565
50000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851315, total loss: 0.000564
50500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851315, total loss: 0.000564
51000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851314, total loss: 0.000564
51500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851314, total loss: 0.000563
52000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851313, total loss: 0.000563
52500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851312, total loss: 0.000563
53000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851311, total loss: 0.000563
53500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851311, total loss: 0.000562
54000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851314, total loss: 0.000565
54500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851314, total loss: 0.000563
55000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851315, total loss: 0.000563
55500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851315, total loss: 0.000563
56000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851315, total loss: 0.000563
56500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851314, total loss: 0.000562
57000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851314, total loss: 0.000562
57500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851313, total loss: 0.000562
58000/60000 PDE Loss: 0.00055, BC Loss: 0.00001, reg_loss:  0.851312, total loss: 0.000561
58500/60000 PDE Loss: 0.00055, BC Loss: 0.00001, reg_loss:  0.851310, total loss: 0.000561
59000/60000 PDE Loss: 0.00055, BC Loss: 0.00001, reg_loss:  0.851309, total loss: 0.000561
59500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.851309, total loss: 0.000563
run time: 327.56298565864563



learning_rate = 0.02
0/60000 PDE Loss: 0.00001, BC Loss: 3364.61719, reg_loss:  0.904837, total loss: 3364.617188
500/60000 PDE Loss: 0.00079, BC Loss: 0.00031, reg_loss:  0.906166, total loss: 0.001098
1000/60000 PDE Loss: 0.00107, BC Loss: 0.01073, reg_loss:  0.904842, total loss: 0.011805
1500/60000 PDE Loss: 0.00167, BC Loss: 0.00144, reg_loss:  0.906821, total loss: 0.003112
2000/60000 PDE Loss: 0.00063, BC Loss: 0.00152, reg_loss:  0.904372, total loss: 0.002155
2500/60000 PDE Loss: 0.00457, BC Loss: 0.01128, reg_loss:  0.904548, total loss: 0.015855
3000/60000 PDE Loss: 0.00720, BC Loss: 0.05445, reg_loss:  0.904675, total loss: 0.061648
3500/60000 PDE Loss: 0.00116, BC Loss: 0.00069, reg_loss:  0.904916, total loss: 0.001856
4000/60000 PDE Loss: 0.00123, BC Loss: 1.25571, reg_loss:  0.904205, total loss: 1.256934
4500/60000 PDE Loss: 0.00256, BC Loss: 0.05757, reg_loss:  0.903147, total loss: 0.060134
5000/60000 PDE Loss: 0.00213, BC Loss: 0.00100, reg_loss:  0.900908, total loss: 0.003127
5500/60000 PDE Loss: 0.01265, BC Loss: 0.34155, reg_loss:  0.898781, total loss: 0.354199
6000/60000 PDE Loss: 0.00082, BC Loss: 0.00071, reg_loss:  0.890047, total loss: 0.001530
6500/60000 PDE Loss: 0.02156, BC Loss: 1.23209, reg_loss:  0.891142, total loss: 1.253644
7000/60000 PDE Loss: 0.02691, BC Loss: 0.45752, reg_loss:  0.889591, total loss: 0.484425
7500/60000 PDE Loss: 0.00297, BC Loss: 0.00540, reg_loss:  0.922632, total loss: 0.008371
8000/60000 PDE Loss: 0.00073, BC Loss: 0.00019, reg_loss:  0.923132, total loss: 0.000926
8500/60000 PDE Loss: 0.00068, BC Loss: 0.00005, reg_loss:  0.923104, total loss: 0.000726
9000/60000 PDE Loss: 0.00103, BC Loss: 0.79198, reg_loss:  0.922652, total loss: 0.793009
9500/60000 PDE Loss: 0.00356, BC Loss: 0.00637, reg_loss:  0.935671, total loss: 0.009930
10000/60000 PDE Loss: 0.00146, BC Loss: 0.00260, reg_loss:  0.935459, total loss: 0.004062
10500/60000 PDE Loss: 0.00120, BC Loss: 0.12109, reg_loss:  0.932735, total loss: 0.122289
11000/60000 PDE Loss: 0.00078, BC Loss: 0.02953, reg_loss:  0.930903, total loss: 0.030306
11500/60000 PDE Loss: 0.00086, BC Loss: 0.87800, reg_loss:  0.928982, total loss: 0.878860
12000/60000 PDE Loss: 0.00086, BC Loss: 3.50502, reg_loss:  0.927185, total loss: 3.505879
12500/60000 PDE Loss: 0.00214, BC Loss: 0.06278, reg_loss:  0.924980, total loss: 0.064920
13000/60000 PDE Loss: 0.00256, BC Loss: 0.01431, reg_loss:  0.923563, total loss: 0.016876
13500/60000 PDE Loss: 0.00218, BC Loss: 0.03542, reg_loss:  0.922585, total loss: 0.037599
14000/60000 PDE Loss: 0.00204, BC Loss: 0.52198, reg_loss:  0.921592, total loss: 0.524022
14500/60000 PDE Loss: 0.00753, BC Loss: 0.48985, reg_loss:  0.918953, total loss: 0.497376
15000/60000 PDE Loss: 0.00513, BC Loss: 0.03949, reg_loss:  0.915301, total loss: 0.044620
15500/60000 PDE Loss: 0.00219, BC Loss: 0.20944, reg_loss:  0.914572, total loss: 0.211629
16000/60000 PDE Loss: 0.00359, BC Loss: 0.63179, reg_loss:  0.913240, total loss: 0.635377
16500/60000 PDE Loss: 0.00141, BC Loss: 10.81752, reg_loss:  0.912958, total loss: 10.818927
17000/60000 PDE Loss: 0.00068, BC Loss: 0.02106, reg_loss:  0.908732, total loss: 0.021740
17500/60000 PDE Loss: 0.00062, BC Loss: 0.69049, reg_loss:  0.908217, total loss: 0.691111
18000/60000 PDE Loss: 0.00069, BC Loss: 1.05582, reg_loss:  0.907249, total loss: 1.056515
18500/60000 PDE Loss: 0.00062, BC Loss: 2.36220, reg_loss:  0.906448, total loss: 2.362826
19000/60000 PDE Loss: 0.00070, BC Loss: 0.11600, reg_loss:  0.905302, total loss: 0.116695
19500/60000 PDE Loss: 0.00184, BC Loss: 7.22223, reg_loss:  0.904773, total loss: 7.224064
20000/60000 PDE Loss: 0.00064, BC Loss: 0.00195, reg_loss:  0.903698, total loss: 0.002591
20500/60000 PDE Loss: 0.00060, BC Loss: 5.06266, reg_loss:  0.903061, total loss: 5.063261
21000/60000 PDE Loss: 0.00075, BC Loss: 0.17162, reg_loss:  0.901839, total loss: 0.172365
21500/60000 PDE Loss: 0.00340, BC Loss: 0.01433, reg_loss:  0.900181, total loss: 0.017736
22000/60000 PDE Loss: 0.00060, BC Loss: 0.00067, reg_loss:  0.900244, total loss: 0.001268
22500/60000 PDE Loss: 0.00063, BC Loss: 0.53082, reg_loss:  0.899037, total loss: 0.531453
23000/60000 PDE Loss: 0.00062, BC Loss: 0.15488, reg_loss:  0.898396, total loss: 0.155505
23500/60000 PDE Loss: 0.00064, BC Loss: 0.03564, reg_loss:  0.897617, total loss: 0.036276
24000/60000 PDE Loss: 0.00064, BC Loss: 0.00581, reg_loss:  0.896970, total loss: 0.006445
24500/60000 PDE Loss: 0.00063, BC Loss: 0.00070, reg_loss:  0.896461, total loss: 0.001331
25000/60000 PDE Loss: 0.00063, BC Loss: 0.18697, reg_loss:  0.895992, total loss: 0.187595
25500/60000 PDE Loss: 0.00068, BC Loss: 0.18597, reg_loss:  0.895092, total loss: 0.186653
26000/60000 PDE Loss: 0.00062, BC Loss: 0.00096, reg_loss:  0.896132, total loss: 0.001580
26500/60000 PDE Loss: 0.00067, BC Loss: 0.00133, reg_loss:  0.896357, total loss: 0.002002
27000/60000 PDE Loss: 0.00061, BC Loss: 0.01554, reg_loss:  0.895884, total loss: 0.016152
27500/60000 PDE Loss: 0.00064, BC Loss: 0.18738, reg_loss:  0.891965, total loss: 0.188020
28000/60000 PDE Loss: 0.00072, BC Loss: 0.01585, reg_loss:  0.891306, total loss: 0.016575
28500/60000 PDE Loss: 0.00095, BC Loss: 0.01478, reg_loss:  0.891067, total loss: 0.015734
29000/60000 PDE Loss: 0.00130, BC Loss: 0.01578, reg_loss:  0.890542, total loss: 0.017074
29500/60000 PDE Loss: 0.00079, BC Loss: 0.26212, reg_loss:  0.890336, total loss: 0.262908
30000/60000 PDE Loss: 0.00074, BC Loss: 0.34368, reg_loss:  0.890010, total loss: 0.344412
30500/60000 PDE Loss: 0.00086, BC Loss: 0.69446, reg_loss:  0.889609, total loss: 0.695315
31000/60000 PDE Loss: 0.00111, BC Loss: 0.79620, reg_loss:  0.888837, total loss: 0.797302
